name,artist,playcount,listeners,duration,mbid,country,genre_tag,rank_global,rank_by_country,bpm,key,scale,danceability,mood_happy,genre_ab
This Could Be Love,Alkaline Trio,0,0,227,042c0c6b-0e01-423f-adb2-14bf0948e3d4,UNKNOWN,alternative,,,,,,,,
1999,Charli xcx,0,0,210,0379ed24-fd11-4dd2-b884-c21a14f22238,UNKNOWN,pop,,,,,,,,
Do What You Gotta Do,Nina Simone,0,0,214,05f863d9-0c54-4d9e-b7e2-9e0d1241dad9,UNKNOWN,jazz,,,,,,,,
The Meaning of Life,The Offspring,0,0,176,06c6adce-6596-4798-831a-01fd84bc38b1,UNKNOWN,punk,,,,,,,,
365,Charli xcx,0,86,208,296fbbd4-57b1-41f6-8394-da2ea3bb9c10,Japan,UNKNOWN,,1464.0,,,,,,
Callas Went Away,Enigma,0,0,264,035f56c4-77c4-306a-9940-da2813965bb2,UNKNOWN,ambient,,,,,,,,
What You Know,Two Door Cinema Club,0,1202,190,02c47925-5759-4d3f-9055-cb9ef45e5a01,Germany,UNKNOWN,,606.0,,,,,,
Other People,Beach House,0,0,265,21385435-283a-3296-b8bb-27aca961f51f,UNKNOWN,female vocalists,,,,,,,,
American Boy,Estelle,0,0,203,03c32a88-5cb3-4bad-854c-8f64784442f3,UNKNOWN,female vocalists,,,,,,,,
Songbird,Kenny G,0,0,305,001d4980-8678-368d-9b30-02b36ddf89b9,UNKNOWN,instrumental,,,,,,,,
